,no,type,date,time,address,lat,lng,dist,year,times,totalSurv,month
1,647,住宅竊盜,1050101,01~03,台北市文山區木新里21鄰保儀路109巷1~30號,24.986165,121.569067,文山區,105,10,56,1
2,648,住宅竊盜,1050101,19~21,台北市松山區濱江街430巷1~30號,25.0705036,121.562203,松山區,105,5,0,1
3,650,住宅竊盜,1050101,22~24,台北市士林區中山北路7段14巷61 ~ 90號,25.1186097,121.5314528,士林區,105,28,0,1
4,651,住宅竊盜,1050101,22~24,台北市內湖區康樂街110巷16弄1 ~ 30號,25.070656,121.6182918,內湖區,105,19,3,1
5,649,住宅竊盜,1050101,22~24,台北市中山區錦州街31~60號,25.0604257,121.5264588,中山區,105,45,219,1
6,652,住宅竊盜,1050102,10~12,台北市中正區龍興里三元街1 ~ 30號,25.0298591,121.5085418,中正區,105,40,85,1
7,653,住宅竊盜,1050102,16~18,台北市中山區松江路235巷1~30號,25.0589871,121.5338425,中山區,105,40,199,1
8,654,住宅竊盜,1050102,19~21,台北市中正區愛國西路1~30號,25.0356043,121.5142953,中正區,105,17,130,1
9,655,住宅竊盜,1050103,13~15,台北市信義區興隆里逸仙路50巷1~30號,25.0406161,121.5630199,信義區,105,20,93,1
10,656,住宅竊盜,1050103,16~18,台北市大安區錦華里杭州南路二段93巷1~30號,25.0284647,121.5229502,大安區,105,22,61,1
11,657,住宅竊盜,1050103,19~21,台北市中山區新生北路二段58巷1~30號,25.0552809,121.5270131,中山區,105,41,152,1
12,658,住宅竊盜,1050104,07~09,台北市內湖區康樂街136巷29弄31~60號,25.072837,121.617992,內湖區,105,19,2,1
13,659,住宅竊盜,1050104,19~21,台北市大安區虎嘯里敦化南路二段151~180號,25.0236949,121.5483457,大安區,105,25,132,1
14,660,住宅竊盜,1050104,22~24,台北市松山區南京東路五段251巷46弄1~30號,25.0537829,121.5650655,松山區,105,28,144,1
15,661,住宅竊盜,1050105,13~15,台北市內湖區康寧路一段301~330號,25.0788957,121.5990773,內湖區,105,10,0,1
16,662,住宅竊盜,1050106,01~03,台北市文山區順興里9鄰木新路二段158巷1弄1~30號,24.983716,121.567081,文山區,105,13,55,1
17,663,住宅竊盜,1050106,10~12,台北市中正區南福里寧波西街1~30號,25.0310232,121.5182374,中正區,105,23,57,1
18,664,住宅竊盜,1050107,13~15,台北市士林區蘭興里德行東路1~30號,25.1096146,121.5335159,士林區,105,20,5,1
19,665,住宅竊盜,1050107,16~18,台北市士林區蘭興里德行東路1~30號,25.1096146,121.5335159,士林區,105,20,5,1
20,666,住宅竊盜,1050107,19~21,台北市信義區五常里永吉路181~210號,25.045853,121.571964,信義區,105,21,68,1
21,667,住宅竊盜,1050108,22~24,台北市文山區萬隆里羅斯福路五段211~240號,25.0013529,121.538933,文山區,105,14,15,1
22,668,住宅竊盜,1050109,22~24,台北市南港區鴻福里玉成街241~270號,25.0429569,121.5856511,南港區,105,23,1,1
23,669,住宅竊盜,1050110,04~06,台北市文山區萬盛里萬盛街91~120號,25.0055973,121.5427974,文山區,105,10,23,1
24,670,住宅竊盜,1050110,07~09,台北市北投區奇岩里公館路85巷2弄1~30號,25.1302713,121.505726,北投區,105,12,90,1
25,671,住宅竊盜,1050110,16~18,台北市內湖區康樂街136巷30弄1~30號,25.0719275,121.6177786,內湖區,105,19,3,1
26,672,住宅竊盜,1050110,19~21,台北市松山區南京東路五段250巷2弄1~30號,25.0508381,121.5662339,松山區,105,27,149,1
27,673,住宅竊盜,1050111,16~18,台北市士林區葫蘆里延平北路五段241~270號,25.0846082,121.5097287,士林區,105,20,160,1
28,674,住宅竊盜,1050111,16~18,台北市萬華區康定路1~30號,25.0461223,121.5034365,萬華區,105,14,70,1
29,675,住宅竊盜,1050111,19~21,台北市士林區蘭雅里德行東路1~30號,25.1078563,121.5282451,士林區,105,25,8,1
30,676,住宅竊盜,1050112,07~09,台北市士林區天和里天母東路91巷1~30號,25.1188692,121.5357943,士林區,105,22,0,1
31,677,住宅竊盜,1050113,04~06,台北市內湖區康樂街220巷2弄1~30號,25.0760699,121.6203077,內湖區,105,15,1,1
32,678,住宅竊盜,1050113,10~12,台北市大同區至聖里民族西路187巷1~30號,25.0689233,121.5149307,大同區,105,19,336,1
33,679,住宅竊盜,1050113,16~18,台北市北投區承德路七段361~390號,25.118422,121.5025621,北投區,105,8,27,1
34,680,住宅竊盜,1050113,22~24,台北市南港區九如里研究院路三段10巷1~30號,25.0351181,121.6139605,南港區,105,5,1,1
35,681,住宅竊盜,1050114,10~12,台北市大同區雙連里重慶北路二段2巷151~180號,25.058404,121.513825,大同區,105,20,276,1
36,682,住宅竊盜,1050114,22~24,台北市中山區明水路541~570號,25.078471,121.551841,中山區,105,5,0,1
37,683,住宅竊盜,1050115,07~09,台北市南港區合成里忠孝東路六段61~90號,25.0475451,121.5844094,南港區,105,17,15,1
38,684,住宅竊盜,1050115,10~12,台北市文山區忠順里14鄰興隆路四段145巷83弄1~30號,24.9851891,121.5619975,文山區,105,16,58,1
39,685,住宅竊盜,1050116,10~12,台北市內湖區金湖路331~360號,25.0735206,121.6035672,內湖區,105,6,1,1
40,686,住宅竊盜,1050116,16~18,台北市北投區開明里復興四路1~30號,25.142415,121.500983,北投區,105,16,105,1
41,687,住宅竊盜,1050117,13~15,台北市大安區民輝里八德路2段10巷1 ~ 30號,25.0443981,121.5342663,大安區,105,9,81,1
